Entity identifier,Entity type,Entity names,Entity names (alternates),nacionalidade,participação,idno-evento,idno-obras,idno-membro-grupo,check
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado ,ev_0935,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça, Selecionado ,ev_0983,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado,ev_1127,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado, ev_1175,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado, ev_1226,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado,ev_1259,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Convidado,ev_1522,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado,ev_1645,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Homenageado,ev_1649,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado,ev_1746,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Homenageado,ev_1749,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Homenageado,ev_1877,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Convidado,ev_2230,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Selecionado, ev_1175,,,
ent_miraschendel,Pessoa,Mira Schendel,Myrrha Dagmar Dub; Mira Hargensheimer; Mira Hargesheimer,Suíça,Convidado  ,ev_2252,,,
